Date,Open,High,Low,Close,Adj Close,Volume
2022-08-10,175.809998,176.429993,174.720001,175.940002,173.682114,4041100
2022-08-11,176.360001,177.119995,174.669998,175.039993,172.793655,2743800
2022-08-12,175.929993,177.380005,175.380005,177.330002,175.054276,3756200
2022-08-15,177.770004,179.360001,176.800003,179.279999,176.979248,3043100
2022-08-16,179.779999,180.699997,178.639999,180.320007,178.005905,3395700
2022-08-17,180.100006,181.070007,179.720001,180.220001,177.907196,2666200
2022-08-18,180.820007,180.929993,179.940002,180.399994,178.084869,3010600
2022-08-19,179.759995,181.009995,179.320007,180.169998,177.857834,3704000
2022-08-22,180.139999,180.470001,178.020004,178.449997,176.159897,3385000
2022-08-23,177.820007,178.860001,177.289993,178.369995,176.080917,2575000
2022-08-24,178.369995,179.500000,178.110001,179.259995,176.959503,3340600
2022-08-25,179.029999,179.350006,177.389999,179.270004,176.969376,3401800
2022-08-26,179.960007,179.979996,174.669998,175.039993,172.793655,5246600
2022-08-29,174.550003,175.289993,173.210007,174.490005,172.250732,4184500
2022-08-30,174.339996,174.690002,172.330002,172.990005,170.769974,4026300
2022-08-31,173.809998,174.410004,172.199997,172.270004,170.059219,5597900
2022-09-01,170.919998,172.979996,170.240005,172.850006,171.778488,4846100
2022-09-02,173.720001,174.970001,169.889999,170.660004,169.602066,5801500
2022-09-06,170.979996,172.589996,169.130005,169.509995,168.459183,4900100
2022-09-07,170.619995,173.779999,169.929993,173.250000,172.175995,6074600
2022-09-08,172.779999,173.429993,170.559998,172.669998,171.599594,3888100
2022-09-09,172.649994,174.550003,171.669998,173.220001,172.146194,3662000
2022-09-12,173.220001,174.440002,172.750000,173.899994,172.821960,5953300
2022-09-13,172.500000,172.830002,166.949997,167.410004,166.372208,6926200
2022-09-14,168.119995,169.190002,167.570007,168.679993,167.634323,5156900
2022-09-15,168.529999,168.559998,165.339996,165.880005,164.851700,5461000
2022-09-16,166.360001,167.169998,165.250000,166.970001,165.934937,12012600
